DotSize,IntersectionID,Lat,Lon,OBJECTID,Saturday,Saturday_1_79,StopDescription,StopID,Sunday,Sunday_1_79,Weekday,Weekday_1_79,WkdBdPerSvc,WkdSvc,coordinates
1614630.66,200,43.071061,-89.407019,10799,79.33,0,Dayton fs Orchard,5,82.51,0,322.93,0,0,0,"[-89.40701296564816, 43.07105305839906]"
4859498.97,76,43.075897,-89.400235,10800,562.56,0,Langdon ns Park,10,425.49,0,971.9,0,0,0,"[-89.40022896695245, 43.07588905701752]"
120276.59,759,43.075849,-89.396996,10801,9.68,0,EB Langdon fs Lake,25,9.0,0,24.06,0,0,0,"[-89.39698996777406, 43.07584105689991]"
3324569.38,735,43.071827,-89.397315,10802,80.67,0,Lake ns Johnson,39,72.07,0,664.91,0,0,0,"[-89.39730896811234, 43.07181905788557]"
3897.85,77,43.078397,-89.390083,10803,6.67,0,EB Langdon ns Wisconsin,45,0.0,0,0.78,0,0,0,"[-89.39007696898551, 43.078389055930984]"
31115.27,751,43.074639,-89.412718,10804,0.0,0,NB Babcock ns Linden,47,0.0,0,6.22,0,0,0,"[-89.41271196358659, 43.074631058377875]"
3618639.87,759,43.075631,-89.397316,10805,138.14,0,Lake ns Langdon,49,94.1,0,723.73,0,0,0,"[-89.39730996771283, 43.075623057414404]"
0.0,723,43.069393,-89.402488,10806,0.0,0,WB Spring ns Brooks,50,0.0,0,0.0,0,0,0,"[-89.4024819670196, 43.06938505864724]"
1346990.88,426,43.07607,-89.405625,10807,30.02,0,WB Observatory ns Charter,52,6.22,0,269.4,0,0,0,"[-89.40561896551391, 43.07606205729214]"
0.0,39,43.075854,-89.403802,10808,1.0,0,EB Observatory at North Hall,53,0.33,0,0.0,0,0,0,"[-89.40379596520279, 43.07584605711215]"
0.0,407,43.069396,-89.403849,10809,0.0,0,WB Spring ns Mills,54,0.0,0,0.0,0,0,0,"[-89.4038429665611, 43.069388058536504]"
14477.74,978,43.076628,-89.407048,10810,3.34,0,WB Observatory at Liz Waters,56,0.33,0,2.9,0,0,0,"[-89.40704196499546, 43.07662005719862]"
839214.57,39,43.075914,-89.403619,10811,36.33,0,WB Observatory at Bascom,60,1.39,0,167.84,0,0,0,"[-89.40361296550596, 43.07590605712405]"
512420.98,731,43.070977,-89.403744,10812,15.33,0,Dayton fs Mills,61,7.66,0,102.48,0,0,0,"[-89.40373796648522, 43.07096905843948]"
27234.49,735,43.072215,-89.397524,10813,0.68,0,SB Lake ns Johnson,68,4.67,0,5.45,0,0,0,"[-89.3975179675412, 43.07220705744043]"
25567.07,977,43.074317,-89.400684,10814,0.0,0,SB Park ns Lathrop,70,0.33,0,5.11,0,0,0,"[-89.40067796650125, 43.07430905766654]"
2107429.39,730,43.070914,-89.399689,10815,78.67,0,Dayton fs Park,75,52.92,0,421.49,0,0,0,"[-89.39968296774644, 43.070906058029315]"
545727.85,742,43.074073,-89.392419,10816,39.67,0,NB Broom ns Gorham,87,3.67,0,109.15,0,0,0,"[-89.3924129688467, 43.07406505692287]"
11136.72,764,43.076927,-89.392177,10817,6.67,0,EB Langdon fs Henry,89,0.67,0,2.23,0,0,0,"[-89.39217096868681, 43.076919057103936]"
18932.43,760,43.077604,-89.388164,10818,19.36,0,SB Wisconsin ns Gorham,96,0.0,0,3.79,0,0,0,"[-89.38815797049072, 43.07759605651413]"
783381.33,76,43.075825,-89.400112,10819,128.54,0,Langdon fs Park,99,118.0,0,156.68,0,0,0,"[-89.40010596671391, 43.07581705753719]"
5887857.48,194,43.073353,-89.401358,10820,236.65,0,WB University fs Park,100,170.68,0,1177.57,0,0,0,"[-89.40135196641265, 43.0733450574635]"
626490.9,731,43.071201,-89.404197,10821,18.09,0,SB Mills ns Dayton,104,18.33,0,125.3,0,0,0,"[-89.40419096667287, 43.071193058339546]"
151924.58,366,43.054418,-89.396633,10822,13.35,0,NB Park fs Olin,107,8.07,0,30.38,0,0,0,"[-89.39662697031835, 43.05441006042693]"
0.0,348,43.049853,-89.392523,10823,0.0,0,Gilson ns Beld,110,0.0,0,0.0,0,0,0,"[-89.3925169721634, 43.0498450607193]"
85805.04,60,43.064991,-89.397725,10824,9.0,0,EB Washington at Brittingham,113,11.33,0,17.16,0,0,0,"[-89.39771896912154, 43.06498305860703]"
253707.16,710,43.068078,-89.400812,10825,23.0,0,NB Park fs Regent,115,12.41,0,50.74,0,0,0,"[-89.40080596733107, 43.068070059040366]"
31857.08,317,43.038541,-89.401184,10826,5.36,0,EB Badger fs Fiedler,121,3.34,0,6.37,0,0,0,"[-89.40117797053378, 43.03853306371139]"
10078.27,653,43.048984,-89.394221,10827,1.67,0,SB Park fs Wingra,124,0.67,0,2.02,0,0,0,"[-89.39421497109402, 43.04897606181523]"
618264.38,420,43.073337,-89.413257,10828,42.2,0,EB University fs Breese,133,26.4,0,123.65,0,0,0,"[-89.41325096268501, 43.07332905855433]"
6693.74,668,43.054058,-89.39913,10829,0.33,0,SB Fish Hatchery fs Midland,146,0.67,0,1.34,0,0,0,"[-89.39912396954942, 43.05405006076041]"
24742.37,667,43.053954,-89.391915,10830,3.68,0,EB Olin fs Hickory,147,3.04,0,4.95,0,0,0,"[-89.39190897107684, 43.053946060729416]"
88925.88,103,43.041265,-89.384258,10831,7.69,0,Rusk ns Nygard,150,4.72,0,17.79,0,0,0,"[-89.38425197527847, 43.04125706207288]"
28703.92,101,43.052103,-89.38062,10832,2.34,0,EB Olin fs Expo,153,2.36,0,5.74,0,0,0,"[-89.38061397503316, 43.052095060268876]"
20067.69,700,43.062942,-89.404119,10833,1.0,0,SB Mills fs Vilas,158,0.67,0,4.01,0,0,0,"[-89.40411296710558, 43.062934059398245]"
4025294.73,191,43.073506,-89.409433,10834,105.93,0,WB University fs Randall,160,80.51,0,805.06,0,0,0,"[-89.40942696418283, 43.07349805822999]"
1488780.33,975,43.07015,-89.38709,10835,5.76,0,NB Broom fs Doty,161,3.67,0,297.76,0,0,0,"[-89.38708397164594, 43.070142057478776]"
20167.13,61,43.065181,-89.400965,10836,1.34,0,SB Park at Meriter,162,3.37,0,4.03,0,0,0,"[-89.40095896732949, 43.065173058690654]"
23075.7,649,43.045806,-89.375611,10837,5.01,0,SB Rimrock fs John Nolen,166,3.04,0,4.62,0,0,0,"[-89.3756049767601, 43.04579806073977]"
427108.39,706,43.065159,-89.403999,10838,14.07,0,NB Mills ns Mound,167,14.33,0,85.42,0,0,0,"[-89.40399296693033, 43.06515105893072]"
127254.69,737,43.072731,-89.387032,10839,5.33,0,WB Washington ns Henry,168,4.33,0,25.45,0,0,0,"[-89.38702597149488, 43.07272305718424]"
18401.02,327,43.041663,-89.404071,10840,0.0,0,SB Fish Hatchery ns Catalpa,170,1.33,0,3.68,0,0,0,"[-89.4040649686089, 43.04165506297216]"
27015.46,330,43.042876,-89.391838,10841,5.35,0,NB Fisher ns Dane,171,1.35,0,5.4,0,0,0,"[-89.39183197213721, 43.04286806226561]"
24603.1,316,43.038506,-89.398039,10842,2.0,0,EB Badger ns Cypress,173,3.02,0,4.92,0,0,0,"[-89.39803297108529, 43.03849806312597]"
19688.72,676,43.056492,-89.3987,10843,1.67,0,SB Park fs Fish Hatchery,174,1.68,0,3.94,0,0,0,"[-89.39869396936274, 43.05648406006038]"
5506064.76,192,43.073505,-89.407051,10844,114.61,0,WB University fs Orchard,178,86.56,0,1101.21,0,0,0,"[-89.40704496541412, 43.07349705785434]"
364496.97,730,43.071132,-89.400951,10845,57.21,0,SB Park ns Dayton,180,28.84,0,72.9,0,0,0,"[-89.40094496667595, 43.07112405794694]"
82988.13,661,43.052376,-89.394985,10846,6.0,0,NB Park fs Beld,181,8.33,0,16.6,0,0,0,"[-89.39497897042109, 43.05236806078522]"
1031312.08,81,43.075181,-89.410405,10847,15.33,0,WB Linden ns Henry,184,11.14,0,206.26,0,0,0,"[-89.41039896350908, 43.075173058195126]"
255755.86,711,43.067968,-89.404154,10848,9.04,0,SB Mills ns Regent,190,10.67,0,51.15,0,0,0,"[-89.40414796691996, 43.06796005885707]"
147339.15,667,43.054082,-89.391907,10849,6.01,0,WB Olin ns Hickory,192,3.71,0,29.47,0,0,0,"[-89.39190097160102, 43.05407406084472]"
99099.24,217,43.047158,-89.393898,10850,1.67,0,Park at Park House,195,3.0,0,19.82,0,0,0,"[-89.39389197128835, 43.047150061984944]"
107374.51,102,43.043317,-89.377058,10851,5.01,0,NB Rimrock fs Rusk,203,5.73,0,21.47,0,0,0,"[-89.37705197713524, 43.04330906164552]"
161106.49,712,43.06786,-89.407154,10852,17.41,0,WB Regent ns Orchard,208,8.71,0,32.22,0,0,0,"[-89.40714796604462, 43.06785205878236]"
68562.56,701,43.063742,-89.40063,10853,8.35,0,Park fs Washington,217,8.43,0,13.71,0,0,0,"[-89.400623967805, 43.06373405897103]"
32643.68,218,43.045534,-89.391846,10854,3.68,0,SB Fisher fs Bram,222,2.02,0,6.53,0,0,0,"[-89.39183997176049, 43.0455260621101]"
29729.56,59,43.066032,-89.396218,10855,3.0,0,EB Washington at Park View,225,2.0,0,5.95,0,0,0,"[-89.39621196945184, 43.066024058923794]"
1666.67,56,43.067808,-89.397867,10856,0.0,0,WB Regent ns Campus,226,0.0,0,0.33,0,0,0,"[-89.39786096885024, 43.067800058220065]"
860785.89,417,43.073403,-89.403854,10857,20.38,0,WB University ns Mills,234,14.38,0,172.16,0,0,0,"[-89.40384796592475, 43.07339505766051]"
30818.31,737,43.072463,-89.387307,10858,2.0,0,WB Washington ns Henry,235,3.67,0,6.16,0,0,0,"[-89.38730097063595, 43.07245505749497]"
0.0,1001,43.067143,-89.413711,10859,12.33,0,Monroe at Breese,241,16.12,0,0.0,0,0,0,"[-89.41370496375737, 43.067135059568436]"
170053.58,649,43.047247,-89.374696,10860,6.01,0,NB John Nolen fs Rimrock,243,1.01,0,34.01,0,0,0,"[-89.3746899769634, 43.047239060581845]"
0.0,193,43.071983,-89.408983,10861,25.33,0,Randall ns Engineering,245,23.51,0,0.0,0,0,0,"[-89.4089769640679, 43.07197505838041]"
154717.58,79,43.071842,-89.3824,10862,0.0,0,WB Wilson ns Carroll,248,0.0,0,30.94,0,0,0,"[-89.38239397250294, 43.07183405727817]"
189915.36,683,43.060126,-89.40062,10863,17.01,0,Park fs Erin,251,17.76,0,37.98,0,0,0,"[-89.4006139685357, 43.060118060188024]"
1592732.64,749,43.074849,-89.3914,10864,172.02,0,WB State ns Gorham,252,139.86,0,318.55,0,0,0,"[-89.39139396991234, 43.07484105700361]"
143404.39,417,43.073078,-89.404181,10865,3.01,0,SB Mills fs University,256,5.39,0,28.68,0,0,0,"[-89.40417496597999, 43.07307005831029]"
1418592.06,196,43.074837,-89.396803,10866,83.86,0,EB State fs Lake,265,63.12,0,283.72,0,0,0,"[-89.39679696792112, 43.074829056997416]"
7804.85,676,43.0563,-89.399077,10867,2.01,0,Fish Hatchery fs Park,266,2.0,0,1.56,0,0,0,"[-89.39907096854476, 43.0562920607867]"
12777.78,710,43.067595,-89.400343,10868,0.0,0,EB Regent fs Park,271,0.0,0,2.56,0,0,0,"[-89.40033696777857, 43.067587058454976]"
